iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,,,,
BEN,Benin,12536820.00,"12,123,200","112,622 sq_km",111/sq_km,2.7,0.16%,77,,,,0.03
BDI,Burundi,12350383.00,"11,890,784","27,834 sq_km",440/sq_km,3.07,0.16%,78,,,,0.03
TUN,Tunisia,11965665.00,"11,818,619","163,610 sq_km",73/sq_km,0.99,0.15%,79,,,,0.01
BOL,Bolivia,11874684.00,"11,673,021","1,098,581 sq_km",11/sq_km,1.37,0.15%,80,,,,0.01
BEL,Belgium,11643884.00,"11,589,623","30,528 sq_km",381/sq_km,0.37,0.15%,81,,,,0.00
HTI,Haiti,11578079.00,"11,402,528","27,750 sq_km",416/sq_km,1.22,0.15%,82,,,,0.01
SSD,South Sudan,11431050.00,"11,193,725","619,745 sq_km",18/sq_km,1.68,0.14%,83,,,,0.02
CUB,Cuba,11315308.00,"11,326,616","109,884 sq_km",103/sq_km,-0.08,0.14%,84,,,,0.00
DOM,Dominican Republic,10981214.00,"10,847,910","48,671 sq_km",225/sq_km,0.98,0.14%,85,,,,0.01
CZE,Czech Republic,10728280.00,"10,708,981","78,865 sq_km",136/sq_km,0.15,0.14%,86,,,,0.00
GRC,Greece,10357371.00,"10,423,054","131,990 sq_km",79/sq_km,-0.5,0.13%,87,,,,-0.01
JOR,Jordan,10292902.00,"10,203,134","89,342 sq_km",115/sq_km,0.65,0.13%,88,,,,0.01
AZE,Azerbaijan,10245312.00,"10,139,177","86,600 sq_km",118/sq_km,0.83,0.13%,89,,,,0.01
PRT,Portugal,10160092.00,"10,196,709","92,090 sq_km",110/sq_km,-0.28,0.13%,90,,,,0.00
SWE,Sweden,10176121.00,"10,099,265","450,295 sq_km",23/sq_km,0.6,0.13%,91,,,,0.01
HND,Honduras,10104257.00,"9,904,607","112,492 sq_km",89/sq_km,1.6,0.13%,92,,,,0.02
ARE,United Arab Emirates,10017835.00,"9,890,402","83,600 sq_km",120/sq_km,1.02,0.13%,93,,,,0.01
TJK,Tajikistan,9804457.00,"9,537,645","143,100 sq_km",68/sq_km,2.22,0.12%,94,,,,0.02
HUN,Hungary,9627095.00,"9,660,351","93,028 sq_km",104/sq_km,-0.27,0.12%,95,,,,0.00
BLR,Belarus,9441047.00,"9,449,323","207,600 sq_km",45/sq_km,-0.07,0.12%,96,,,,0.00
PNG,Papua New Guinea,9163906.00,"8,947,024","462,840 sq_km",20/sq_km,1.92,0.12%,97,,,,0.02
AUT,Austria,9053004.00,"9,006,398","83,871 sq_km",108/sq_km,0.41,0.11%,98,,,,0.00
ISR,Israel,8824735.00,"8,655,535","20,770 sq_km",423/sq_km,1.55,0.11%,99,,,,0.02
CHE,Switzerland,8731924.00,"8,654,622","41,284 sq_km",211/sq_km,0.7,0.11%,100,,,,0.01
SRB,Serbia,8687329.00,"8,737,371","88,361 sq_km",98/sq_km,-0.46,0.11%,101,,,,0.00
TGO,Togo,8530597.00,"8,278,724","56,785 sq_km",149/sq_km,2.41,0.11%,102,,,,0.02
SLE,Sierra Leone,8184233.00,"7,976,983","71,740 sq_km",113/sq_km,2.06,0.10%,103,,,,0.02
HKG,Hong Kong,7567425.00,"7,496,981","1,104 sq_km","6,841/sq_km",0.74,0.10%,104,,,,0.01
LAO,Laos,7406200.00,"7,275,560","236,800 sq_km",31/sq_km,1.43,0.09%,105,,,,0.01
PRY,Paraguay,7242277.00,"7,132,538","406,752 sq_km",18/sq_km,1.22,0.09%,106,,,,0.01
LBY,Libya,6980407.00,"6,871,292","1,759,540 sq_km",4/sq_km,1.27,0.09%,107,,,,0.01
BGR,Bulgaria,6883194.00,"6,948,445","110,879 sq_km",62/sq_km,-0.75,0.09%,108,,,,-0.01
LBN,Lebanon,6761886.00,"6,825,445","10,452 sq_km",648/sq_km,-0.82,0.09%,109,,,,-0.01
NIC,Nicaragua,6722827.00,"6,624,554","130,373 sq_km",51/sq_km,1.17,0.09%,110,,,,0.01
KGZ,Kyrgyzstan,6655389.00,"6,524,195","199,951 sq_km",33/sq_km,1.6,0.08%,111,,,,0.02
SLV,El Salvador,6526809.00,"6,486,205","21,041 sq_km",310/sq_km,0.5,0.08%,112,,,,0.01
TKM,Turkmenistan,6140467.00,"6,031,200","488,100 sq_km",13/sq_km,1.44,0.08%,113,,,,0.01
SGP,Singapore,5909295.00,"5,850,342",710 sq_km,"8,305/sq_km",0.79,0.07%,114,,,,0.01
DNK,Denmark,5818838.00,"5,792,202","43,094 sq_km",135/sq_km,0.36,0.07%,115,,,,0.00
COG,Republic Of The Congo,5693312.00,"5,518,087","342,000 sq_km",17/sq_km,2.52,0.07%,116,,,,0.03
FIN,Finland,5550462.00,"5,540,720","338,424 sq_km",16/sq_km,0.14,0.07%,117,,,,0.00
NOR,Norway,5477570.00,"5,421,241","323,802 sq_km",17/sq_km,0.82,0.07%,118,,,,0.01
SVK,Slovakia,5460817.00,"5,459,642","49,037 sq_km",111/sq_km,0.02,0.07%,119,,,,0.00
OMN,Oman,5255566.00,"5,106,626","309,500 sq_km",17/sq_km,2.29,0.07%,120,,,,0.02
PSE,Palestine,5254080.00,"5,101,414","6,220 sq_km",840/sq_km,2.38,0.07%,121,,,,0.02
LBR,Liberia,5212394.00,"5,057,681","111,369 sq_km",47/sq_km,2.42,0.07%,122,,,,0.02
CRI,Costa Rica,5150706.00,"5,094,118","51,100 sq_km",101/sq_km,0.88,0.07%,123,,,,0.01
