iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,Continent,,,
RWA,Greenland,56877,"56,770","2,166,086 sq_km",0/sq_km,0.19,0.00%,208,,,,0
BEN,Grenada,113117,"112,523",344 sq_km,329/sq_km,0.44,0.00%,194,,,,0
BDI,Guam,170561,"168,775",549 sq_km,310/sq_km,0.83,0.00%,190,,,,0.01
TUN,Guatemala,18336977,"17,915,568","108,889 sq_km",168/sq_km,1.87,0.23%,67,North America,,,0.02
BOL,Guinea,13591525,"13,132,795","245,857 sq_km",55/sq_km,2.78,0.17%,75,Africa,,,0.03
BEL,Guinea Bissau,2027912,"1,968,001","36,125 sq_km",56/sq_km,2.41,0.03%,150,Africa,,,0.02
HTI,Guyana,791281,"786,552","214,969 sq_km",4/sq_km,0.48,0.01%,164,South America,,,0
SSD,Haiti,11578079,"11,402,528","27,750 sq_km",416/sq_km,1.22,0.15%,82,North America,,,0.01
CUB,Honduras,10104257,"9,904,607","112,492 sq_km",89/sq_km,1.6,0.13%,92,North America,,,0.02
DOM,Hong Kong,7567425,"7,496,981","1,104 sq_km","6,841/sq_km",0.74,0.10%,104,Asia,,,0.01
CZE,Hungary,9627095,"9,660,351","93,028 sq_km",104/sq_km,-0.27,0.12%,95,Europe,,,0
GRC,Iceland,343926,"341,243","103,000 sq_km",3/sq_km,0.62,0.00%,180,Europe,,,0.01
JOR,India,1396911098,"1,380,004,385","3,287,590 sq_km",424/sq_km,0.97,17.69%,2,Asia,,,0.01
AZE,Indonesia,277104378,"273,523,615","1,904,569 sq_km",145/sq_km,1.04,3.51%,4,Asia,,,0.01
PRT,Iran,85293931,"83,992,949","1,648,195 sq_km",52/sq_km,1.23,1.08%,18,Asia,,,0.01
SWE,Iraq,41432581,"40,222,493","438,317 sq_km",94/sq_km,2.38,0.52%,36,Asia,,,0.02
HND,Ireland,4994274,"4,937,786","70,273 sq_km",71/sq_km,0.91,0.06%,124,Europe,,,0.01
ARE,Isle Of Man,85410,"85,033",572 sq_km,149/sq_km,0.44,0.00%,201,,,,0
TJK,Israel,8824735,"8,655,535","20,770 sq_km",423/sq_km,1.55,0.11%,99,Asia,,,0.02
HUN,Italy,60346653,"60,461,826","301,336 sq_km",200/sq_km,-0.16,0.77%,24,Europe,,,0
BLR,Ivory Coast,27229773,"26,378,274","322,463 sq_km",84/sq_km,2.56,0.34%,53,,,,0.03
PNG,Jamaica,2976615,"2,961,167","10,991 sq_km",271/sq_km,0.42,0.04%,137,North America,,,0
AUT,Japan,125940762,"126,476,461","377,930 sq_km",334/sq_km,-0.34,1.60%,11,Asia,,,0
ISR,Jordan,10292902,"10,203,134","89,342 sq_km",115/sq_km,0.65,0.13%,88,Asia,,,0.01
CHE,Kazakhstan,19051798,"18,776,707","2,724,900 sq_km",7/sq_km,1.16,0.24%,64,Asia,,,0.01
SRB,Kenya,55303885,"53,771,296","580,367 sq_km",95/sq_km,2.26,0.70%,26,Africa,,,0.02
TGO,Kiribati,121870,"119,449",811 sq_km,150/sq_km,1.63,0.00%,192,,,,0.02
SLE,Kuwait,4345458,"4,270,571","17,818 sq_km",243/sq_km,1.36,0.05%,129,Asia,,,0.01
